,station,date,tmax,tmin,tavg,dewpoint,wetbulb,codesum,preciptotal,year,month,week,humidity
40,1,2007-05-21,80,44,62.0,50,56, ,0.0,2007,5,21,64.73130403319603
41,2,2007-05-21,79,46,63.0,50,57, ,0.0,2007,5,21,62.489911541258955
42,1,2007-05-22,87,55,71.0,46,58, ,0.0,2007,5,21,40.78437873189862
43,2,2007-05-22,87,60,74.0,44,58, ,0.0,2007,5,21,34.154590084423795
44,1,2007-05-23,89,60,75.0,49,61, ,0.0,2007,5,21,39.89579869755478
45,2,2007-05-23,89,66,78.0,48,61, ,0.0,2007,5,21,34.78375150043124
46,1,2007-05-24,88,63,76.0,54,63,RA HZ,0.02,2007,5,21,46.4176905261899
47,2,2007-05-24,88,66,77.0,53,63,RA HZ,0.005,2007,5,21,43.285691086399886
48,1,2007-05-25,70,56,63.0,44,53, ,0.005,2007,5,21,49.84159040609186
49,2,2007-05-25,66,57,62.0,46,53,RA BR,0.09,2007,5,21,55.7089809078481
50,1,2007-05-26,65,49,57.0,55,56,TSRA RA BR HZ,1.01,2007,5,21,93.00883719986737
51,2,2007-05-26,70,50,60.0,55,57,TSRA RA BR,0.28,2007,5,21,83.52505989004503
52,1,2007-05-27,75,57,66.0,47,56,RA BR,0.04,2007,5,21,50.29229115862627
53,2,2007-05-27,75,59,67.0,49,57,RA BR,0.08,2007,5,21,52.36594383575726
54,1,2007-05-28,79,50,65.0,47,56,RA,0.005,2007,5,22,52.07291087810838
55,2,2007-05-28,76,54,65.0,49,57, ,0.0,2007,5,22,56.13141013840536
56,1,2007-05-29,88,60,74.0,58,65,BR HZ,0.0,2007,5,22,57.36879214984288
57,2,2007-05-29,88,65,77.0,59,66,BR HZ,0.0,2007,5,22,53.79912917163951
58,1,2007-05-30,87,66,77.0,58,65,HZ,0.0,2007,5,22,51.904648026246356
59,2,2007-05-30,89,70,80.0,57,66,HZ,0.0,2007,5,22,45.35622683576624
60,1,2007-05-31,78,65,72.0,61,65,RA HZ,0.01,2007,5,22,68.30702534158651
61,2,2007-05-31,80,68,74.0,61,66,RA BR,0.53,2007,5,22,63.85321833711421
62,1,2007-06-01,85,62,74.0,63,66,TSRA BR HZ,0.19,2007,6,22,68.52628458711716
63,2,2007-06-01,86,67,77.0,63,67,TSRA BR HZ,0.21,2007,6,22,61.99943468829765
64,1,2007-06-02,81,65,73.0,63,67,RA BR,0.04,2007,6,22,70.87089690607739
65,2,2007-06-02,81,68,75.0,62,67,RA BR,0.005,2007,6,22,63.97388267125127
66,1,2007-06-03,78,62,70.0,60,63,TSRA RA BR HZ,0.01,2007,6,22,70.55990715762363
67,2,2007-06-03,77,64,71.0,60,64,RA BR HZ VCTS,0.32,2007,6,22,68.19661499378506
68,1,2007-06-04,71,58,65.0,58,60,TSRA RA BR,0.39,2007,6,23,78.05567169406697
69,2,2007-06-04,72,56,64.0,57,60,RA BR,0.31,2007,6,23,77.9727683279775
70,1,2007-06-05,64,47,56.0,48,51,RA BR,0.42,2007,6,23,74.45268533078975
71,2,2007-06-05,63,51,57.0,47,52,RA BR,0.27,2007,6,23,69.15818623814671
72,1,2007-06-06,71,44,58.0,48,55,RA,0.01,2007,6,23,69.26922228337513
73,2,2007-06-06,73,48,61.0,47,55,RA,0.005,2007,6,23,59.937731910787726
74,1,2007-06-07,91,71,81.0,62,69, ,0.0,2007,6,23,52.47550009737232
75,2,2007-06-07,92,71,82.0,61,68, ,0.0,2007,6,23,49.028793104657076
76,1,2007-06-08,81,57,69.0,53,61, ,0.0,2007,6,23,56.686850696229826
77,2,2007-06-08,81,63,72.0,54,62, ,0.0,2007,6,23,53.08915754692025
78,1,2007-06-09,79,52,66.0,47,57, ,0.0,2007,6,23,50.29229115862627
79,2,2007-06-09,79,57,68.0,49,58, ,0.0,2007,6,23,50.59013056579321
80,1,2007-06-10,81,55,68.0,51,59, ,0.0,2007,6,23,54.497276281177406
81,2,2007-06-10,81,61,71.0,50,60, ,0.0,2007,6,23,47.38959457661924
82,1,2007-06-11,86,58,72.0,52,61, ,0.0,2007,6,24,49.33072796792948
83,2,2007-06-11,85,65,75.0,51,61, ,0.0,2007,6,24,42.97700637975792
84,1,2007-06-12,83,62,73.0,50,60, ,0.0,2007,6,24,44.28716078510459
85,2,2007-06-12,82,66,74.0,51,61, ,0.0,2007,6,24,44.44124230610644
86,1,2007-06-13,87,60,74.0,53,62, ,0.0,2007,6,24,47.84249406223293
87,2,2007-06-13,86,68,77.0,53,62, ,0.0,2007,6,24,43.285691086399886
88,1,2007-06-14,89,64,77.0,55,64, ,0.0,2007,6,24,46.56871566103546
89,2,2007-06-14,89,68,79.0,54,63, ,0.0,2007,6,24,42.0312913786929
90,1,2007-06-15,91,63,77.0,56,64, ,0.0,2007,6,24,48.29099965563686
91,2,2007-06-15,89,67,78.0,56,65, ,0.0,2007,6,24,46.71927056208743
92,1,2007-06-16,93,66,80.0,60,67,RA HZ,0.005,2007,6,24,50.506158550756396
93,2,2007-06-16,92,68,80.0,61,68,HZ,0.005,2007,6,24,52.333551547067955
94,1,2007-06-17,91,70,81.0,64,70,HZ,0.0,2007,6,24,56.298962921134255
95,2,2007-06-17,91,71,81.0,65,70,HZ,0.16,2007,6,24,58.300877006286115
96,1,2007-06-18,89,69,79.0,65,70,TSRA RA HZ,0.28,2007,6,25,62.247329201951004
97,2,2007-06-18,89,73,81.0,65,70,TSRA RA HZ,0.02,2007,6,25,58.300877006286115
98,1,2007-06-19,80,65,73.0,55,63,RA,0.58,2007,6,25,53.23220547500601
99,2,2007-06-19,81,65,73.0,55,63,RA BR,0.93,2007,6,25,53.23220547500601
100,1,2007-06-20,84,61,73.0,52,61, ,0.0,2007,6,25,47.6920165941982
101,2,2007-06-20,85,62,74.0,50,61, ,0.0,2007,6,25,42.82201462100089
102,1,2007-06-21,77,61,69.0,51,60,RA,0.01,2007,6,25,52.65682980666182
103,2,2007-06-21,80,66,73.0,51,61,RA,0.005,2007,6,25,45.9617900026378
104,1,2007-06-22,76,61,69.0,50,58,RA,0.005,2007,6,25,50.738265153460794
105,2,2007-06-22,75,62,69.0,49,58,RA,0.005,2007,6,25,48.88163366835733
106,1,2007-06-23,67,62,65.0,58,61,RA BR,0.05,2007,6,25,78.05567169406697
107,2,2007-06-23,68,61,65.0,60,62,RA BR,0.34,2007,6,25,83.84471247176181
108,1,2007-06-24,77,63,70.0,62,65,BR HZ,0.0,2007,6,25,75.74671784055894
109,2,2007-06-24,75,65,70.0,62,65,BR HZ,0.0,2007,6,25,75.74671784055894
110,1,2007-06-25,89,65,77.0,66,70,BR HZ,0.0,2007,6,26,68.85131182953751
111,2,2007-06-25,86,67,77.0,67,70,BR HZ,0.0,2007,6,26,71.27854110531861
112,1,2007-06-26,92,70,81.0,69,72,TSRA BR HZ VCTS,0.16,2007,6,26,66.9476486991263
113,2,2007-06-26,91,73,82.0,69,72,BR HZ,0.005,2007,6,26,64.80371344799588
114,1,2007-06-27,91,71,81.0,70,72,TSRA,0.15,2007,6,26,69.27758930469994
115,2,2007-06-27,89,71,80.0,69,72,TSRA RA BR,0.35,2007,6,26,69.17177159414872
116,1,2007-06-28,74,58,66.0,55,60, ,0.0,2007,6,26,67.63664253243361
117,2,2007-06-28,73,61,67.0,56,61, ,0.0,2007,6,26,67.74970265494606
118,1,2007-06-29,70,56,63.0,55,59, ,0.0,2007,6,26,75.11151657294913
119,2,2007-06-29,71,56,64.0,56,60, ,0.0,2007,6,26,75.20368187494536
120,1,2007-06-30,79,54,67.0,46,56, ,0.0,2007,6,26,46.77886660025213
121,2,2007-06-30,77,58,68.0,49,58, ,0.0,2007,6,26,50.59013056579321
122,1,2007-07-01,75,54,65.0,52,58, ,0.0,2007,7,26,62.7427719811493
123,2,2007-07-01,76,61,69.0,51,59, ,0.0,2007,7,26,52.65682980666182
124,1,2007-07-02,79,53,66.0,50,58, ,0.0,2007,7,27,56.27110197801161
125,2,2007-07-02,77,58,68.0,50,59, ,0.0,2007,7,27,52.51165450423614
126,1,2007-07-03,83,60,72.0,57,63,TSRA RA BR,0.4,2007,7,27,59.200051291818134
127,2,2007-07-03,83,63,73.0,56,63,TSRA RA,0.09,2007,7,27,55.200930061577466
128,1,2007-07-04,86,67,77.0,65,69,TSRA BR HZ FU,0.16,2007,7,27,66.49695902904085
129,2,2007-07-04,84,67,76.0,65,69,TSRA RA HZ FU,0.66,2007,7,27,68.74348058795903
130,1,2007-07-05,89,71,80.0,60,67,BR HZ FU,0.0,2007,7,27,50.506158550756396
131,2,2007-07-05,88,70,79.0,60,67,BR,0.0,2007,7,27,52.19109419072684
132,1,2007-07-06,86,66,76.0,57,64, ,0.0,2007,7,27,51.76065673239512
133,2,2007-07-06,84,68,76.0,57,65, ,0.0,2007,7,27,51.76065673239512
134,1,2007-07-07,90,64,77.0,63,69, ,0.0,2007,7,27,61.99943468829765
135,2,2007-07-07,88,68,78.0,62,68, ,0.0,2007,7,27,57.904610033841074
136,1,2007-07-08,94,75,85.0,67,72, ,0.0,2007,7,27,54.90799943648251
137,2,2007-07-08,93,75,84.0,67,72, ,0.0,2007,7,27,56.702052433516606
138,1,2007-07-09,94,70,82.0,66,70,TSRA RA VCTS,0.3,2007,7,28,58.43191052377349
139,2,2007-07-09,93,72,83.0,67,71,RA,0.24,2007,7,28,58.56241959730853
140,1,2007-07-10,89,69,79.0,67,70,HZ VCTS,0.43,2007,7,28,66.72333408930567
141,2,2007-07-10,89,70,80.0,67,71,TSRA HZ,0.08,2007,7,28,64.56924007445551
142,1,2007-07-11,77,62,70.0,51,59, ,0.0,2007,7,28,50.88587779810227
143,2,2007-07-11,77,63,70.0,51,59, ,0.0,2007,7,28,50.88587779810227
144,1,2007-07-12,80,61,71.0,51,59, ,0.0,2007,7,28,49.18153603952177
145,2,2007-07-12,80,60,70.0,51,60,VCTS,0.0,2007,7,28,50.88587779810227
146,1,2007-07-13,78,58,68.0,52,58, ,0.0,2007,7,28,56.54882032643535
147,2,2007-07-13,74,59,67.0,53,59, ,0.0,2007,7,28,60.72752109564434
148,1,2007-07-14,84,61,73.0,55,62, ,0.0,2007,7,28,53.23220547500601
149,2,2007-07-14,85,62,74.0,55,62, ,0.0,2007,7,28,51.47113160447879
150,1,2007-07-15,82,60,71.0,53,61, ,0.0,2007,7,28,52.9455799128056
151,2,2007-07-15,80,64,72.0,52,61, ,0.0,2007,7,28,49.33072796792948
152,1,2007-07-16,82,65,74.0,60,65,RA BR,0.39,2007,7,29,61.62357940507553
153,2,2007-07-16,82,66,74.0,60,65,TSRA RA,0.07,2007,7,29,61.62357940507553
154,1,2007-07-17,83,68,76.0,66,69,RA BR VCTS,0.11,2007,7,29,71.1773724290501
155,2,2007-07-17,83,69,76.0,65,69,RA BR,0.11,2007,7,29,68.74348058795903
156,1,2007-07-18,85,69,77.0,68,71,TSRA RA BR VCTS,1.55,2007,7,29,73.78055835142726
157,2,2007-07-18,85,69,77.0,69,71,TS TSRA RA BR HZ VCTS,0.92,2007,7,29,76.35931535226167
158,1,2007-07-19,83,63,73.0,63,66,DZ BR,0.16,2007,7,29,70.87089690607739
159,2,2007-07-19,82,63,73.0,62,66,BR HZ,0.01,2007,7,29,68.41691426823859
160,1,2007-07-20,75,58,67.0,53,59, ,0.0,2007,7,29,60.72752109564434
161,2,2007-07-20,74,62,68.0,52,59, ,0.0,2007,7,29,56.54882032643535
162,1,2007-07-21,74,58,66.0,52,58, ,0.0,2007,7,29,60.59729912087231
163,2,2007-07-21,75,58,67.0,52,59, ,0.0,2007,7,29,58.53379534850804
164,1,2007-07-22,81,58,70.0,55,61, ,0.0,2007,7,29,58.9352047117653
165,2,2007-07-22,81,61,71.0,54,61, ,0.0,2007,7,29,54.92109027968242
166,1,2007-07-23,83,60,72.0,55,63, ,0.0,2007,7,30,55.06127932824511
167,2,2007-07-23,82,63,73.0,55,63, ,0.0,2007,7,30,53.23220547500601
168,1,2007-07-24,82,65,74.0,58,64, ,0.0,2007,7,30,57.36879214984288
169,2,2007-07-24,82,65,74.0,57,64, ,0.005,2007,7,30,55.34004418727664
170,1,2007-07-25,85,71,78.0,61,67, ,0.005,2007,7,30,55.89116901040809
171,2,2007-07-25,83,70,77.0,60,66, ,0.0,2007,7,30,55.754184100364554
172,1,2007-07-26,83,66,75.0,65,68,TS TSRA RA BR HZ,0.19,2007,7,30,71.07571072806151
173,2,2007-07-26,84,64,74.0,65,68,TS TSRA BR HZ,0.89,2007,7,30,73.49727560438572
174,1,2007-07-27,83,70,77.0,68,70,RA BR HZ,0.17,2007,7,30,73.78055835142726
175,2,2007-07-27,83,70,77.0,67,70,RA BR HZ,0.04,2007,7,30,71.27854110531861
176,1,2007-07-28,80,66,73.0,65,68,BR HZ,0.0,2007,7,30,76.01196932855785
177,2,2007-07-28,80,70,75.0,65,68,BR HZ,0.0,2007,7,30,71.07571072806151
178,1,2007-07-29,85,63,74.0,57,64, ,0.0,2007,7,30,55.34004418727664
179,2,2007-07-29,85,67,76.0,56,64, ,0.0,2007,7,30,49.922454287730936
180,1,2007-07-30,89,62,76.0,55,64, ,0.0,2007,7,31,48.141984953815566
181,2,2007-07-30,86,65,76.0,57,65, ,0.0,2007,7,31,51.76065673239512
182,1,2007-07-31,91,68,80.0,61,68, ,0.0,2007,7,31,52.333551547067955
183,2,2007-07-31,89,69,79.0,60,68, ,0.0,2007,7,31,52.19109419072684
184,1,2007-08-01,92,69,81.0,62,69,HZ,0.0,2007,8,31,52.47550009737232
185,2,2007-08-01,91,69,80.0,63,70, ,0.0,2007,8,31,56.1635566720445
186,1,2007-08-02,91,70,81.0,66,71,HZ,0.0,2007,8,31,60.365044075809024
187,2,2007-08-02,91,73,82.0,66,72, ,0.0,2007,8,31,58.43191052377349
188,1,2007-08-03,90,69,80.0,56,66, ,0.0,2007,8,31,43.74546815700187
189,2,2007-08-03,88,73,81.0,58,67, ,0.0,2007,8,31,45.50714115078846
190,1,2007-08-04,81,64,73.0,58,64,RA,0.03,2007,8,31,59.331653227294
191,2,2007-08-04,81,68,75.0,58,65,RA,0.02,2007,8,31,55.478623420120435
192,1,2007-08-05,88,67,78.0,71,73,TSRA RA BR HZ,1.43,2007,8,31,79.09417564153422
193,2,2007-08-05,88,68,78.0,71,72,TSRA RA BR VCTS,0.97,2007,8,31,79.09417564153422
194,1,2007-08-06,88,74,81.0,72,74,TSRA RA BR HZ,0.26,2007,8,32,74.15172617530648
195,2,2007-08-06,85,75,80.0,72,74,TS TSRA BR HZ,0.05,2007,8,32,76.61518165278144
196,1,2007-08-07,91,72,82.0,73,76,RA BR,1.31,2007,8,32,74.24336845181534
197,2,2007-08-07,92,73,83.0,73,76,VCTS,0.06,2007,8,32,71.87535626747479
198,1,2007-08-08,87,73,80.0,71,73,TSRA RA BR,0.06,2007,8,32,74.05962679431985
199,2,2007-08-08,87,74,81.0,72,74,TSRA RA DZ BR HZ,0.09,2007,8,32,74.15172617530648
200,1,2007-08-09,84,72,78.0,71,73,TSRA RA,0.05,2007,8,32,79.09417564153422
201,2,2007-08-09,85,73,79.0,71,73,TSRA BR HZ,0.46,2007,8,32,76.53032954125824
202,1,2007-08-10,86,70,78.0,68,72,BR,0.0,2007,8,32,71.37921957347292
203,2,2007-08-10,86,73,80.0,69,72, ,0.0,2007,8,32,69.17177159414872
204,1,2007-08-11,89,67,78.0,65,70,BR HZ,0.0,2007,8,32,64.33267984899061
205,2,2007-08-11,88,68,78.0,65,70,BR HZ,0.0,2007,8,32,64.33267984899061
206,1,2007-08-12,88,67,78.0,67,71,TSRA,0.29,2007,8,32,68.9586355825529
207,2,2007-08-12,87,68,78.0,67,70,TSRA,0.23,2007,8,32,68.9586355825529
208,1,2007-08-13,81,65,73.0,57,64,BR,0.0,2007,8,33,57.23349208270923
209,2,2007-08-13,80,69,75.0,54,63, ,0.0,2007,8,33,47.992483305857384
210,1,2007-08-14,84,65,75.0,67,70,TS TSRA RA BR,0.41,2007,8,33,76.18653608667044
211,2,2007-08-14,84,65,75.0,66,69,TSRA RA BR,0.45,2007,8,33,73.59217615810955
212,1,2007-08-15,80,71,76.0,67,70,TSRA RA BR,0.23,2007,8,33,73.68660279143874
213,2,2007-08-15,81,72,77.0,69,71,TS TSRA RA BR,0.83,2007,8,33,76.35931535226167
214,1,2007-08-16,77,65,71.0,64,67,BR,0.0,2007,8,33,78.543897108773
215,2,2007-08-16,77,67,72.0,65,68,BR,0.0,2007,8,33,78.62376240366078
216,1,2007-08-17,79,60,70.0,54,61, ,0.0,2007,8,33,56.82433111207962
217,2,2007-08-17,80,65,73.0,54,62, ,0.0,2007,8,33,51.325595364126016
218,1,2007-08-18,68,59,64.0,54,58,RA,0.09,2007,8,33,69.92407087163488
219,2,2007-08-18,69,60,65.0,54,58,RA,0.42,2007,8,33,67.52304382783947
220,1,2007-08-19,68,62,65.0,62,64,TS RA BR,1.33,2007,8,33,90.0080801386818
221,2,2007-08-19,69,62,66.0,63,64,TS RA BR,1.33,2007,8,33,90.04829834149889
222,1,2007-08-20,78,68,73.0,68,69,TSRA RA BR,0.91,2007,8,34,84.33777454399561
223,2,2007-08-20,76,68,72.0,69,70,TS TSRA RA BR HZ,0.48,2007,8,34,90.28468000981043
224,1,2007-08-21,87,69,78.0,70,72,BR HZ,0.005,2007,8,34,76.44504169240159
225,2,2007-08-21,85,69,77.0,70,72,BR,0.01,2007,8,34,79.01680479229573
226,1,2007-08-22,90,69,80.0,71,73,TS TSRA RA,0.37,2007,8,34,74.05962679431985
227,2,2007-08-22,90,70,80.0,70,73,TSRA RA BR,0.88,2007,8,34,71.5791170727178
228,1,2007-08-23,87,69,78.0,69,71,TS TSRA RA BR VCTS,2.35,2007,8,34,73.87404566725823
229,2,2007-08-23,89,70,80.0,69,71,TS TSRA BR,1.96,2007,8,34,69.17177159414872
230,1,2007-08-24,80,69,75.0,67,69,TSRA RA,0.24,2007,8,34,76.18653608667044
231,2,2007-08-24,81,69,75.0,67,69,TS TSRA RA BR,0.2,2007,8,34,76.18653608667044
232,1,2007-08-25,79,64,72.0,63,66,RA,0.34,2007,8,34,73.30604125769314
233,2,2007-08-25,76,65,71.0,63,66,RA BR,0.25,2007,8,34,75.83559235050328
234,1,2007-08-26,79,60,70.0,55,61, ,0.0,2007,8,34,58.9352047117653
235,2,2007-08-26,78,61,70.0,55,62, ,0.0,2007,8,34,58.9352047117653
236,1,2007-08-27,79,60,70.0,60,64, ,0.0,2007,8,35,70.55990715762363
237,2,2007-08-27,79,63,71.0,59,64, ,0.0,2007,8,35,65.80525853476206
238,1,2007-08-28,91,67,79.0,66,70, ,0.0,2007,8,35,64.45122207118804
239,2,2007-08-28,90,69,80.0,65,70, ,0.0,2007,8,35,60.23773838781599
240,1,2007-08-29,85,68,77.0,65,69, ,0.005,2007,8,35,66.49695902904085
241,2,2007-08-29,86,69,78.0,64,69, ,0.005,2007,8,35,62.123647934918836
242,1,2007-08-30,75,57,66.0,54,60, ,0.0,2007,8,35,65.21411080812129
243,2,2007-08-30,75,60,68.0,54,61, ,0.0,2007,8,35,60.85718486364794
244,1,2007-08-31,77,57,67.0,52,59, ,0.0,2007,8,35,58.53379534850804
245,2,2007-08-31,76,57,67.0,54,60, ,0.0,2007,8,35,62.99339197054547
246,1,2007-09-01,81,57,69.0,55,61, ,0.0,2007,9,35,60.98629282649291
247,2,2007-09-01,79,60,70.0,56,62, ,0.0,2007,9,35,61.11484738287635
248,1,2007-09-02,85,61,73.0,57,63, ,0.0,2007,9,35,57.23349208270923
249,2,2007-09-02,84,62,73.0,56,63, ,0.0,2007,9,35,55.200930061577466
250,1,2007-09-03,88,66,77.0,61,67, ,0.0,2007,9,36,57.7714589924489
251,2,2007-09-03,88,64,76.0,61,67, ,0.0,2007,9,36,59.72319979400966
252,1,2007-09-04,89,63,76.0,60,66, ,0.0,2007,9,36,57.63777364205565
253,2,2007-09-04,90,67,79.0,59,67, ,0.0,2007,9,36,50.36098121213036
254,1,2007-09-05,90,66,78.0,63,69,RA,0.005,2007,9,36,59.98153661250495
255,2,2007-09-05,91,72,82.0,62,69, ,0.0,2007,9,36,50.79502174353099
256,1,2007-09-06,82,73,78.0,67,70,RA HZ,0.18,2007,9,36,68.9586355825529
257,2,2007-09-06,84,74,79.0,66,70,TSRA HZ,0.08,2007,9,36,64.45122207118804
258,1,2007-09-07,84,70,77.0,68,70,TSRA RA BR HZ,0.19,2007,9,36,73.78055835142726
259,2,2007-09-07,84,71,78.0,67,70,TSRA RA BR HZ,0.67,2007,9,36,68.9586355825529
260,1,2007-09-08,78,64,71.0,57,63, ,0.0,2007,9,36,61.24285092838859
261,2,2007-09-08,78,68,73.0,58,64, ,0.0,2007,9,36,59.331653227294
262,1,2007-09-09,80,63,72.0,59,63, ,0.0,2007,9,36,63.61027648899768
263,2,2007-09-09,79,63,71.0,59,64, ,0.0,2007,9,36,65.80525853476206
264,1,2007-09-10,74,54,64.0,58,60,RA BR,0.36,2007,9,37,80.83122457253185
265,2,2007-09-10,73,55,64.0,59,62,RA,0.25,2007,9,37,83.78150430151231
266,1,2007-09-11,71,50,61.0,44,52, ,0.005,2007,9,37,53.489222585624475
267,2,2007-09-11,71,51,61.0,44,52, ,0.005,2007,9,37,53.489222585624475
268,1,2007-09-12,67,46,57.0,42,49, ,0.0,2007,9,37,57.15918089979204
269,2,2007-09-12,66,46,56.0,43,50, ,0.0,2007,9,37,61.5869532980018
270,1,2007-09-13,78,50,64.0,45,54, ,0.0,2007,9,37,49.99235094090568
271,2,2007-09-13,79,53,66.0,43,54, ,0.0,2007,9,37,43.19591684569223
272,1,2007-09-14,66,45,56.0,39,48, ,0.0,2007,9,37,52.75252146814352
273,2,2007-09-14,67,47,57.0,40,49, ,0.0,2007,9,37,52.900984227741645
274,1,2007-09-15,61,39,50.0,33,43, ,0.0,2007,9,37,51.8498399585023
275,2,2007-09-15,62,42,52.0,35,45, ,0.0,2007,9,37,52.153011439233396
276,1,2007-09-16,71,44,58.0,40,49, ,0.0,2007,9,37,51.03023255339122
277,2,2007-09-16,72,49,61.0,38,50, ,0.0,2007,9,37,42.40289605084187
278,1,2007-09-17,80,52,66.0,49,57, ,0.0,2007,9,38,54.212011086396494
279,2,2007-09-17,80,55,68.0,48,57, ,0.0,2007,9,38,48.73092155991871
280,1,2007-09-18,88,63,76.0,58,65, ,0.0,2007,9,38,53.65818551881196
281,2,2007-09-18,89,66,78.0,57,65, ,0.0,2007,9,38,48.43952808118265
282,1,2007-09-19,84,65,75.0,59,65, ,0.0,2007,9,38,57.503552015891614
283,2,2007-09-19,84,68,76.0,59,65, ,0.0,2007,9,38,55.61666948175095
284,1,2007-09-20,78,60,69.0,59,63, ,0.0,2007,9,38,70.4552272678883
285,2,2007-09-20,76,63,70.0,59,64, ,0.0,2007,9,38,68.08568039805756
286,1,2007-09-21,88,64,76.0,59,66,HZ,0.0,2007,9,38,55.61666948175095
287,2,2007-09-21,90,68,79.0,59,66,HZ,0.0,2007,9,38,50.36098121213036
288,1,2007-09-22,74,51,63.0,43,53, ,0.0,2007,9,38,47.96972029596404
289,2,2007-09-22,72,58,65.0,45,55, ,0.0,2007,9,38,48.27573196984521
290,1,2007-09-23,84,50,67.0,50,58, ,0.0,2007,9,38,54.354917050774056
291,2,2007-09-23,83,55,69.0,50,59, ,0.0,2007,9,38,50.738265153460794
292,1,2007-09-24,90,68,79.0,63,68, ,0.0,2007,9,39,58.03722873540538
293,2,2007-09-24,91,71,81.0,62,69, ,0.0,2007,9,39,52.47550009737232
294,1,2007-09-25,85,63,74.0,65,69,TS RA,0.27,2007,9,39,73.49727560438572
295,2,2007-09-25,83,67,75.0,66,69,TSRA,0.01,2007,9,39,73.59217615810955
296,1,2007-09-26,69,53,61.0,50,55,RA,0.09,2007,9,39,67.06320485667815
297,2,2007-09-26,68,55,62.0,51,56,RA BR,0.14,2007,9,39,67.17898708854047
298,1,2007-09-27,75,49,62.0,49,55,BR,0.005,2007,9,39,62.362634612270064
299,2,2007-09-27,74,52,63.0,49,55,RA BCFG BR,0.005,2007,9,39,60.203259900373716
